Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Number of Days Hospitalized,Number of Days Hospitalized Description,Number of Days Hospitalized Notes,Estimated Lost Wages,Estimated Lost Wages Description,Estimated Lost State Income Tax Revenue,Estimated Lost State Income Tax Revenue Description,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Georeferenced Latitude & Longitude,Latitude,Longitude
County,Forest,All,All (21 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,21,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2632.00,Lost wages dues to hospitalization for opioid use,80.80,Estimated state income tax revenue lost during hospitalizations due to opioid use,27,27,42,53,"(41.5135787577, -79.2378099483)",POINT (-79.2378099483 41.5135787577),41.51357876,-79.23780995
County,McKean,All,All (21 to 64 years),2020,2020 Q1,1/1/2020-3/31/2020,44,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,5060.00,Lost wages dues to hospitalization for opioid use,155.34,Estimated state income tax revenue lost during hospitalizations due to opioid use,42,42,42,83,"(41.810370736, -78.5712201998)",POINT (-78.5712201998 41.810370736),41.81037074,-78.5712202
County,Chester,All,All (21 to 64 years),2017,2017 Q2,4/1/2017-6/30/2017,330,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,62322.86,Lost wages dues to hospitalization for opioid use,1913.31,Estimated state income tax revenue lost during hospitalizations due to opioid use,15,15,42,29,"(39.9748705566, -75.7562649818)",POINT (-75.7562649818 39.9748705566),39.97487056,-75.75626498
County,Lackawanna,All,All (21 to 64 years),2018,2018 Q2,4/1/2018-6/30/2018,86,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,9902.29,Lost wages dues to hospitalization for opioid use,304.00,Estimated state income tax revenue lost during hospitalizations due to opioid use,35,35,42,69,"(41.4391006428, -75.6121834524)",POINT (-75.6121834524 41.4391006428),41.43910064,-75.61218345
County,Lackawanna,All,All (21 to 64 years),2016,2016 Q3,7/1/2016-9/30/2016,42,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,4752.00,Lost wages dues to hospitalization for opioid use,145.89,Estimated state income tax revenue lost during hospitalizations due to opioid use,35,35,42,69,"(41.4391006428, -75.6121834524)",POINT (-75.6121834524 41.4391006428),41.43910064,-75.61218345
State,Commonwealth,All,50 to 64 years,2016,2016 Annual,1/1/2016-12/31/2016,13122,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1938171.29,Lost wages dues to hospitalization for opioid use,59501.86,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Carbon,All,All (21 to 64 years),2018,2018 Q3,7/1/2018-9/30/2018,62,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,6394.86,Lost wages dues to hospitalization for opioid use,196.32,Estimated state income tax revenue lost during hospitalizations due to opioid use,13,13,42,25,"(40.9193670081, -75.7110703866)",POINT (-75.7110703866 40.9193670081),40.91936701,-75.71107039
County,Clarion,All,All (21 to 64 years),2018,2018 Annual,1/1/2018-12/31/2018,13,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1340.86,Lost wages dues to hospitalization for opioid use,41.16,Estimated state income tax revenue lost during hospitalizations due to opioid use,16,16,42,31,"(41.1927912877, -79.4248360769)",POINT (-79.4248360769 41.1927912877),41.19279129,-79.42483608
County,Carbon,All,All (21 to 64 years),2017,2017 Q3,7/1/2017-9/30/2017,38,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,3827.14,Lost wages dues to hospitalization for opioid use,117.49,Estimated state income tax revenue lost during hospitalizations due to opioid use,13,13,42,25,"(40.9193670081, -75.7110703866)",POINT (-75.7110703866 40.9193670081),40.91936701,-75.71107039
County,Dauphin,All,All (21 to 64 years),2016,2016 Q3,7/1/2016-9/30/2016,450,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,66535.71,Lost wages dues to hospitalization for opioid use,2042.65,Estimated state income tax revenue lost during hospitalizations due to opioid use,22,22,42,43,"(40.4197463597, -76.7796056802)",POINT (-76.7796056802 40.4197463597),40.41974636,-76.77960568
County,Snyder,All,All (21 to 64 years),2020,2020 Q1,1/1/2020-3/31/2020,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,55,55,42,109,"(40.7711373692, -77.0725596804)",POINT (-77.0725596804 40.7711373692),40.77113737,-77.07255968
County,Indiana,All,All (21 to 64 years),2018,2018 Q4,10/1/2018-12/31/2018,4,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,516.00,Lost wages dues to hospitalization for opioid use,15.84,Estimated state income tax revenue lost during hospitalizations due to opioid use,32,32,42,63,"(40.6529549748, -79.0933349286)",POINT (-79.0933349286 40.6529549748),40.65295498,-79.09333493
County,Beaver,All,All (21 to 64 years),2019,2019 Annual,1/1/2019-12/31/2019,346,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,51109.43,Lost wages dues to hospitalization for opioid use,1569.06,Estimated state income tax revenue lost during hospitalizations due to opioid use,4,4,42,7,"(40.6834924548, -80.3510735648)",POINT (-80.3510735648 40.6834924548),40.68349246,-80.35107356
County,Elk,All,All (21 to 64 years),2016,2016 Q1,1/1/2016-3/31/2016,13,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1420.71,Lost wages dues to hospitalization for opioid use,43.62,Estimated state income tax revenue lost during hospitalizations due to opioid use,24,24,42,47,"(41.4281941606, -78.6494771322)",POINT (-78.6494771322 41.4281941606),41.42819416,-78.64947713
County,Potter,All,All (21 to 64 years),2020,2020 Q3,7/1/2020-9/30/2020,5,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,600.71,Lost wages dues to hospitalization for opioid use,18.44,Estimated state income tax revenue lost during hospitalizations due to opioid use,53,53,42,105,"(41.7442064382, -77.8987922939)",POINT (-77.8987922939 41.7442064382),41.74420644,-77.89879229
County,Monroe,All,All (21 to 64 years),2019,2019 Q2,4/1/2019-6/30/2019,56,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,6624.00,Lost wages dues to hospitalization for opioid use,203.36,Estimated state income tax revenue lost during hospitalizations due to opioid use,45,45,42,89,"(41.0609178653, -75.3408360302)",POINT (-75.3408360302 41.0609178653),41.06091787,-75.34083603
County,Chester,All,All (21 to 64 years),2017,2017 Q3,7/1/2017-9/30/2017,365,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,62936.43,Lost wages dues to hospitalization for opioid use,1932.15,Estimated state income tax revenue lost during hospitalizations due to opioid use,15,15,42,29,"(39.9748705566, -75.7562649818)",POINT (-75.7562649818 39.9748705566),39.97487056,-75.75626498
County,Huntingdon,All,All (21 to 64 years),2018,2018 Annual,1/1/2018-12/31/2018,90,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,9753.43,Lost wages dues to hospitalization for opioid use,299.43,Estimated state income tax revenue lost during hospitalizations due to opioid use,31,31,42,61,"(40.4161050032, -77.9827661036)",POINT (-77.9827661036 40.4161050032),40.416105,-77.9827661
State,Commonwealth,All,35 to 49 years,2017,2017 Q1,1/1/2017-3/31/2017,4692,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,744461.29,Lost wages dues to hospitalization for opioid use,22854.96,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Northampton,All,All (21 to 64 years),2018,2018 Q1,1/1/2018-3/31/2018,211,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,28032.86,Lost wages dues to hospitalization for opioid use,860.61,Estimated state income tax revenue lost during hospitalizations due to opioid use,48,48,42,95,"(40.754595404, -75.3126372576)",POINT (-75.3126372576 40.754595404),40.7545954,-75.31263726
County,Northampton,All,All (21 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,981,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,122843.86,Lost wages dues to hospitalization for opioid use,3771.31,Estimated state income tax revenue lost during hospitalizations due to opioid use,48,48,42,95,"(40.754595404, -75.3126372576)",POINT (-75.3126372576 40.754595404),40.7545954,-75.31263726
County,Butler,All,All (21 to 64 years),2020,2020 Q1,1/1/2020-3/31/2020,218,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,32606.57,Lost wages dues to hospitalization for opioid use,1001.02,Estimated state income tax revenue lost during hospitalizations due to opioid use,10,10,42,19,"(40.9108318483, -79.9171177889)",POINT (-79.9171177889 40.9108318483),40.91083185,-79.91711779
County,Northumberland,All,All (21 to 64 years),2020,2020 Q1,1/1/2020-3/31/2020,47,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,5754.14,Lost wages dues to hospitalization for opioid use,176.65,Estimated state income tax revenue lost during hospitalizations due to opioid use,49,49,42,97,"(40.8515092572, -76.7118842273)",POINT (-76.7118842273 40.8515092572),40.85150926,-76.71188423
County,York,All,All (21 to 64 years),2016,2016 Q3,7/1/2016-9/30/2016,497,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,63900.00,Lost wages dues to hospitalization for opioid use,1961.73,Estimated state income tax revenue lost during hospitalizations due to opioid use,67,67,42,133,"(39.9219253124, -76.7257605231)",POINT (-76.7257605231 39.9219253124),39.92192531,-76.72576052
County,Elk,All,All (21 to 64 years),2020,2020 Q2,4/1/2020-6/30/2020,3,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,361.71,Lost wages dues to hospitalization for opioid use,11.10,Estimated state income tax revenue lost during hospitalizations due to opioid use,24,24,42,47,"(41.4281941606, -78.6494771322)",POINT (-78.6494771322 41.4281941606),41.42819416,-78.64947713
County,Huntingdon,All,All (21 to 64 years),2018,2018 Q1,1/1/2018-3/31/2018,28,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2996.00,Lost wages dues to hospitalization for opioid use,91.98,Estimated state income tax revenue lost during hospitalizations due to opioid use,31,31,42,61,"(40.4161050032, -77.9827661036)",POINT (-77.9827661036 40.4161050032),40.416105,-77.9827661
County,Huntingdon,All,All (21 to 64 years),2019,2019 Annual,1/1/2019-12/31/2019,78,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,8443.14,Lost wages dues to hospitalization for opioid use,259.20,Estimated state income tax revenue lost during hospitalizations due to opioid use,31,31,42,61,"(40.4161050032, -77.9827661036)",POINT (-77.9827661036 40.4161050032),40.416105,-77.9827661
County,Montour,All,All (21 to 64 years),2017,2017 Q3,7/1/2017-9/30/2017,5,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,950.71,Lost wages dues to hospitalization for opioid use,29.19,Estimated state income tax revenue lost during hospitalizations due to opioid use,47,47,42,93,"(41.0280182438, -76.6647052668)",POINT (-76.6647052668 41.0280182438),41.02801824,-76.66470527
County,Carbon,All,All (21 to 64 years),2019,2019 Q2,4/1/2019-6/30/2019,42,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,4224.00,Lost wages dues to hospitalization for opioid use,129.68,Estimated state income tax revenue lost during hospitalizations due to opioid use,13,13,42,25,"(40.9193670081, -75.7110703866)",POINT (-75.7110703866 40.9193670081),40.91936701,-75.71107039
County,Delaware,All,All (21 to 64 years),2020,2020 Q4,10/1/2020-12/31/2020,2409,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,467346.00,Lost wages dues to hospitalization for opioid use,14347.52,Estimated state income tax revenue lost during hospitalizations due to opioid use,23,23,42,45,"(39.9165786652, -75.4062771212)",POINT (-75.4062771212 39.9165786652),39.91657867,-75.40627712
County,Washington,All,All (21 to 64 years),2020,2020 Q3,7/1/2020-9/30/2020,148,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,23299.43,Lost wages dues to hospitalization for opioid use,715.29,Estimated state income tax revenue lost during hospitalizations due to opioid use,63,63,42,125,"(40.1910966345, -80.2518008276)",POINT (-80.2518008276 40.1910966345),40.19109664,-80.25180083
County,Montgomery,All,All (21 to 64 years),2019,2019 Annual,1/1/2019-12/31/2019,3122,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,614059.71,Lost wages dues to hospitalization for opioid use,18851.63,Estimated state income tax revenue lost during hospitalizations due to opioid use,46,46,42,91,"(40.209898739, -75.3725200072)",POINT (-75.3725200072 40.209898739),40.20989874,-75.37252001
County,McKean,All,All (21 to 64 years),2019,2019 Q4,10/1/2019-12/31/2019,41,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,4826.29,Lost wages dues to hospitalization for opioid use,148.17,Estimated state income tax revenue lost during hospitalizations due to opioid use,42,42,42,83,"(41.810370736, -78.5712201998)",POINT (-78.5712201998 41.810370736),41.81037074,-78.5712202
State,Commonwealth,Male,All (21 to 64 years),2017,2017 Q4,10/1/2017-12/31/2017,8830,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1420292.57,Lost wages dues to hospitalization for opioid use,43602.98,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Bucks,All,All (21 to 64 years),2019,2019 Annual,1/1/2019-12/31/2019,3364,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,488008.71,Lost wages dues to hospitalization for opioid use,14981.87,Estimated state income tax revenue lost during hospitalizations due to opioid use,9,9,42,17,"(40.335011331, -75.1129124111)",POINT (-75.1129124111 40.335011331),40.33501133,-75.11291241
County,Warren,All,All (21 to 64 years),2019,2019 Q3,7/1/2019-9/30/2019,24,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2705.14,Lost wages dues to hospitalization for opioid use,83.05,Estimated state income tax revenue lost during hospitalizations due to opioid use,62,62,42,123,"(41.8167523652, -79.278581578)",POINT (-79.278581578 41.8167523652),41.81675237,-79.27858158
County,Armstrong,All,All (21 to 64 years),2016,2016 Q3,7/1/2016-9/30/2016,56,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,6048.00,Lost wages dues to hospitalization for opioid use,185.67,Estimated state income tax revenue lost during hospitalizations due to opioid use,3,3,42,5,"(40.8150952555, -79.4731689893)",POINT (-79.4731689893 40.8150952555),40.81509526,-79.47316899
County,Lycoming,All,All (21 to 64 years),2018,2018 Q3,7/1/2018-9/30/2018,27,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,3270.86,Lost wages dues to hospitalization for opioid use,100.42,Estimated state income tax revenue lost during hospitalizations due to opioid use,41,41,42,81,"(41.3445979226, -77.069424568)",POINT (-77.069424568 41.3445979226),41.34459792,-77.06942457
County,Perry,All,All (21 to 64 years),2016,2016 Q3,7/1/2016-9/30/2016,90,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,8292.86,Lost wages dues to hospitalization for opioid use,254.59,Estimated state income tax revenue lost during hospitalizations due to opioid use,50,50,42,99,"(40.4041531744, -77.2590738496)",POINT (-77.2590738496 40.4041531744),40.40415317,-77.25907385
County,Armstrong,All,All (21 to 64 years),2018,2018 Q2,4/1/2018-6/30/2018,18,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1985.14,Lost wages dues to hospitalization for opioid use,60.94,Estimated state income tax revenue lost during hospitalizations due to opioid use,3,3,42,5,"(40.8150952555, -79.4731689893)",POINT (-79.4731689893 40.8150952555),40.81509526,-79.47316899
County,Cumberland,All,All (21 to 64 years),2020,2020 Q3,7/1/2020-9/30/2020,78,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,11744.57,Lost wages dues to hospitalization for opioid use,360.56,Estimated state income tax revenue lost during hospitalizations due to opioid use,21,21,42,41,"(40.167598388, -77.268662705)",POINT (-77.268662705 40.167598388),40.16759839,-77.26866271
County,Centre,All,All (21 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,290,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,38277.86,Lost wages dues to hospitalization for opioid use,1175.13,Estimated state income tax revenue lost during hospitalizations due to opioid use,14,14,42,27,"(40.9193135008, -77.8250011212)",POINT (-77.8250011212 40.9193135008),40.9193135,-77.82500112
County,Washington,All,All (21 to 64 years),2018,2018 Q2,4/1/2018-6/30/2018,42,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,6066.00,Lost wages dues to hospitalization for opioid use,186.23,Estimated state income tax revenue lost during hospitalizations due to opioid use,63,63,42,125,"(40.1910966345, -80.2518008276)",POINT (-80.2518008276 40.1910966345),40.19109664,-80.25180083
County,Butler,All,All (21 to 64 years),2019,2019 Q4,10/1/2019-12/31/2019,154,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,23364.00,Lost wages dues to hospitalization for opioid use,717.27,Estimated state income tax revenue lost during hospitalizations due to opioid use,10,10,42,19,"(40.9108318483, -79.9171177889)",POINT (-79.9171177889 40.9108318483),40.91083185,-79.91711779
State,Commonwealth,Female,All (21 to 64 years),2020,2020 Q1,1/1/2020-3/31/2020,4955,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,877154.86,Lost wages dues to hospitalization for opioid use,26928.65,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Berks,All,All (21 to 64 years),2016,2016 Q2,4/1/2016-6/30/2016,345,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,44406.43,Lost wages dues to hospitalization for opioid use,1363.28,Estimated state income tax revenue lost during hospitalizations due to opioid use,6,6,42,11,"(40.4193963513, -75.9307732705)",POINT (-75.9307732705 40.4193963513),40.41939635,-75.93077327
County,Northampton,All,All (21 to 64 years),2017,2017 Q2,4/1/2017-6/30/2017,359,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,45080.14,Lost wages dues to hospitalization for opioid use,1383.96,Estimated state income tax revenue lost during hospitalizations due to opioid use,48,48,42,95,"(40.754595404, -75.3126372576)",POINT (-75.3126372576 40.754595404),40.7545954,-75.31263726
County,Jefferson,All,All (21 to 64 years),2020,2020 Q4,10/1/2020-12/31/2020,23,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2921.00,Lost wages dues to hospitalization for opioid use,89.67,Estimated state income tax revenue lost during hospitalizations due to opioid use,33,33,42,65,"(41.1313909115, -79.0010181419)",POINT (-79.0010181419 41.1313909115),41.13139091,-79.00101814
County,Fayette,All,All (21 to 64 years),2020,2020 Q3,7/1/2020-9/30/2020,58,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,6835.71,Lost wages dues to hospitalization for opioid use,209.86,Estimated state income tax revenue lost during hospitalizations due to opioid use,26,26,42,51,"(39.919447803, -79.6518963464)",POINT (-79.6518963464 39.919447803),39.9194478,-79.65189635
County,Butler,All,All (21 to 64 years),2019,2019 Q3,7/1/2019-9/30/2019,193,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,27461.14,Lost wages dues to hospitalization for opioid use,843.06,Estimated state income tax revenue lost during hospitalizations due to opioid use,10,10,42,19,"(40.9108318483, -79.9171177889)",POINT (-79.9171177889 40.9108318483),40.91083185,-79.91711779
County,Somerset,All,All (21 to 64 years),2020,2020 Q4,10/1/2020-12/31/2020,23,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2914.43,Lost wages dues to hospitalization for opioid use,89.47,Estimated state income tax revenue lost during hospitalizations due to opioid use,56,56,42,111,"(39.9714629901, -79.0310020611)",POINT (-79.0310020611 39.9714629901),39.97146299,-79.03100206
County,Cameron,All,All (21 to 64 years),2019,2019 Q1,1/1/2019-3/31/2019,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,12,12,42,23,"(41.4388026531, -78.2091693241)",POINT (-78.2091693241 41.4388026531),41.43880265,-78.20916932
County,Greene,All,All (21 to 64 years),2019,2019 Q3,7/1/2019-9/30/2019,22,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,3482.29,Lost wages dues to hospitalization for opioid use,106.91,Estimated state income tax revenue lost during hospitalizations due to opioid use,30,30,42,59,"(39.8548039342, -80.2294381655)",POINT (-80.2294381655 39.8548039342),39.85480393,-80.22943817
County,Centre,All,All (21 to 64 years),2020,2020 Q2,4/1/2020-6/30/2020,2,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,314.29,Lost wages dues to hospitalization for opioid use,9.65,Estimated state income tax revenue lost during hospitalizations due to opioid use,14,14,42,27,"(40.9193135008, -77.8250011212)",POINT (-77.8250011212 40.9193135008),40.9193135,-77.82500112
County,Philadelphia,All,All (21 to 64 years),2016,2016 Q1,1/1/2016-3/31/2016,3324,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,572202.86,Lost wages dues to hospitalization for opioid use,17566.63,Estimated state income tax revenue lost during hospitalizations due to opioid use,51,51,42,101,"(40.0044435384, -75.140236002)",POINT (-75.140236002 40.0044435384),40.00444354,-75.140236
County,Indiana,All,All (21 to 64 years),2017,2017 Q4,10/1/2017-12/31/2017,27,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,3286.29,Lost wages dues to hospitalization for opioid use,100.89,Estimated state income tax revenue lost during hospitalizations due to opioid use,32,32,42,63,"(40.6529549748, -79.0933349286)",POINT (-79.0933349286 40.6529549748),40.65295498,-79.09333493
County,Somerset,All,All (21 to 64 years),2016,2016 Q1,1/1/2016-3/31/2016,52,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,4984.57,Lost wages dues to hospitalization for opioid use,153.03,Estimated state income tax revenue lost during hospitalizations due to opioid use,56,56,42,111,"(39.9714629901, -79.0310020611)",POINT (-79.0310020611 39.9714629901),39.97146299,-79.03100206
County,Beaver,All,All (21 to 64 years),2016,2016 Q4,10/1/2016-12/31/2016,154,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,18480.00,Lost wages dues to hospitalization for opioid use,567.34,Estimated state income tax revenue lost during hospitalizations due to opioid use,4,4,42,7,"(40.6834924548, -80.3510735648)",POINT (-80.3510735648 40.6834924548),40.68349246,-80.35107356
County,Wayne,All,All (21 to 64 years),2018,2018 Q4,10/1/2018-12/31/2018,4,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,473.14,Lost wages dues to hospitalization for opioid use,14.53,Estimated state income tax revenue lost during hospitalizations due to opioid use,64,64,42,127,"(41.6496980525, -75.3051535022)",POINT (-75.3051535022 41.6496980525),41.64969805,-75.3051535
County,Warren,All,All (21 to 64 years),2018,2018 Q4,10/1/2018-12/31/2018,55,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,6694.29,Lost wages dues to hospitalization for opioid use,205.51,Estimated state income tax revenue lost during hospitalizations due to opioid use,62,62,42,123,"(41.8167523652, -79.278581578)",POINT (-79.278581578 41.8167523652),41.81675237,-79.27858158
County,Elk,All,All (21 to 64 years),2020,2020 Annual,1/1/2020-12/31/2020,26,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,3329.43,Lost wages dues to hospitalization for opioid use,102.21,Estimated state income tax revenue lost during hospitalizations due to opioid use,24,24,42,47,"(41.4281941606, -78.6494771322)",POINT (-78.6494771322 41.4281941606),41.42819416,-78.64947713
State,Commonwealth,All,21 to 34 years,2016,2016 Annual,1/1/2016-12/31/2016,25277,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,3690667.29,Lost wages dues to hospitalization for opioid use,113303.49,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Northampton,All,All (21 to 64 years),2018,2018 Q2,4/1/2018-6/30/2018,275,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,35200.00,Lost wages dues to hospitalization for opioid use,1080.64,Estimated state income tax revenue lost during hospitalizations due to opioid use,48,48,42,95,"(40.754595404, -75.3126372576)",POINT (-75.3126372576 40.754595404),40.7545954,-75.31263726
County,Forest,All,All (21 to 64 years),2017,2017 Q1,1/1/2017-3/31/2017,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,27,27,42,53,"(41.5135787577, -79.2378099483)",POINT (-79.2378099483 41.5135787577),41.51357876,-79.23780995
County,Mercer,All,All (21 to 64 years),2016,2016 Q4,10/1/2016-12/31/2016,30,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,3351.43,Lost wages dues to hospitalization for opioid use,102.89,Estimated state income tax revenue lost during hospitalizations due to opioid use,43,43,42,85,"(41.302377765, -80.2600941079)",POINT (-80.2600941079 41.302377765),41.30237777,-80.26009411
County,Erie,All,All (21 to 64 years),2017,2017 Q3,7/1/2017-9/30/2017,238,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,26724.00,Lost wages dues to hospitalization for opioid use,820.43,Estimated state income tax revenue lost during hospitalizations due to opioid use,25,25,42,49,"(41.9941378702, -80.0407591036)",POINT (-80.0407591036 41.9941378702),41.99413787,-80.0407591
County,Cambria,All,All (21 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,414,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,42540.00,Lost wages dues to hospitalization for opioid use,1305.98,Estimated state income tax revenue lost during hospitalizations due to opioid use,11,11,42,21,"(40.4912749067, -78.7189417385)",POINT (-78.7189417385 40.4912749067),40.49127491,-78.71894174
State,Commonwealth,Female,All (21 to 64 years),2018,2018 Q4,10/1/2018-12/31/2018,6337,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1043439.43,Lost wages dues to hospitalization for opioid use,32033.59,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Franklin,All,All (21 to 64 years),2020,2020 Q4,10/1/2020-12/31/2020,298,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,42486.29,Lost wages dues to hospitalization for opioid use,1304.33,Estimated state income tax revenue lost during hospitalizations due to opioid use,28,28,42,55,"(39.9278619704, -77.7239884483)",POINT (-77.7239884483 39.9278619704),39.92786197,-77.72398845
County,Lycoming,All,All (21 to 64 years),2019,2019 Annual,1/1/2019-12/31/2019,89,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,10995.43,Lost wages dues to hospitalization for opioid use,337.56,Estimated state income tax revenue lost during hospitalizations due to opioid use,41,41,42,81,"(41.3445979226, -77.069424568)",POINT (-77.069424568 41.3445979226),41.34459792,-77.06942457
County,Centre,All,All (21 to 64 years),2019,2019 Annual,1/1/2019-12/31/2019,27,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,3919.14,Lost wages dues to hospitalization for opioid use,120.32,Estimated state income tax revenue lost during hospitalizations due to opioid use,14,14,42,27,"(40.9193135008, -77.8250011212)",POINT (-77.8250011212 40.9193135008),40.9193135,-77.82500112
